,drug_labels,drug_rxcui,indications_label,indications_mondo,indications_umls
0,Cefepime|CEFEPIME HYDROCHLORIDE|CEFEPIME HYDROCHLORIDE.|CEFEPIME INJECTION|MAXIPIME,20481,Pneumonia|Osteomyelitis|Urinary tract infection,MONDO:0005249|MONDO:0005246|MONDO:0005247,C0032285|C0029443|C0042029
1,ALAWAY|KETOTIFEN|KETOTIFEN FUMARATE.|ZADITOR,6146,Hypersensitivity,MONDO:0005271,C0020517
2,BUDESONIDE NASAL SPRAY|ENTOCORT|PULMICORT|RHINOCORT|UCERIS,19831,Colitis ulcerative|Crohn's disease|Colitis microscopic|Colitis,MONDO:0005101|MONDO:0005011|MONDO:0000702|MONDO:0005292,C0009324|C0010346|C0400821|C0009319
3,OSELTAMIVIR|OSELTAMIVIR PHOSPHATE|OSELTAMIVIR PHOSPHATE.|TAMIFLU,260101,Influenza|H1N1 influenza,MONDO:0013855|MONDO:0005460,C0021400|C2076600
4,Cefpodoxime|CEFPODOXIME PROXETIL|CEFPODOXIME PROXETIL.,20489,,,
5,ERTAPENEM|ERTAPENEM SODIUM|ERTAPENEM.|INVANZ,325642,Urinary tract infection|Osteomyelitis,MONDO:0005247|MONDO:0005246,C0042029|C0029443
6,INFLECTRA|INFLIXIMAB|INFLIXIMAB-DYYB|REMICADE,191831,Crohn's disease|Colitis ulcerative|Rheumatoid arthritis|Ankylosing spondylitis|Psoriatic arthropathy|Inflammatory bowel disease|Psoriasis|Colitis|Behcet's syndrome|Hidradenitis|Sarcoidosis|Juvenile idiopathic arthritis|Arthritis|Uveitis|Spondylitis|Pyoderma gangrenosum|Spondyloarthropathy|Kawasaki's disease|Takayasu's arteritis|Gastrointestinal disorder|Polyarthritis|Irritable bowel syndrome,MONDO:0005011|MONDO:0005101|MONDO:0008383|MONDO:0005306|MONDO:0011849|MONDO:0005265|MONDO:0005083|MONDO:0005292|MONDO:0007191|MONDO:0002260|MONDO:0019338|MONDO:0011429|MONDO:0005578|MONDO:0020283|MONDO:0003937|MONDO:0018824|MONDO:0005095|MONDO:0012727|MONDO:0017991|MONDO:0004335|MONDO:0024280|MONDO:0005052,C0010346|C0009324|C0003873|C0038013|C0003872|C0021390|C0033860|C0009319|C0004943|C0085160|C0036202|C3495559|C0003864|C0042164|C0038012|C0085652|C0949691|C0026691|C0039263|C0017178|C0162323|C0022104
7,BUDESONIDE|BUDESONIDE.|BUDESONIDE/FORMOTEROL|Formoterol|SYMBICORT,389132,Chronic obstructive pulmonary disease|Asthma|Emphysema|Bronchitis|Lung disorder|Crohn's disease|Colitis microscopic|Bronchitis chronic|Respiratory disorder|Pneumonia|Colitis ulcerative,MONDO:0011751|MONDO:0004979|MONDO:0004849|MONDO:0003781|MONDO:0005275|MONDO:0005011|MONDO:0000702|MONDO:0003781|MONDO:0005087|MONDO:0005249|MONDO:0005101,C0024117|C0004096|C0034067|C0006277|C0024115|C0010346|C0400821|C0008677|C0035204|C0032285|C0009324
8,Leukine|SARGRAMOSTIM,69634,Malignant melanoma,MONDO:0005105,C0025202
9,ETHAMBUTOL|ETHAMBUTOL HYDROCHLORIDE|ETHAMBUTOL HYDROCHLORIDE.,4110,Tuberculosis|Pulmonary tuberculosis|Mycobacterium avium complex infection,MONDO:0018076|MONDO:0006052|MONDO:0005866,C0041296|C0041327|C0026916
10,FIBRINOGEN|RIASTAP,831503,,,
